VALOR,FRESCURA,FRECUENCIA,SEGMENTO
V1,F1,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V0,F0,R0,PERDIDOS
V2,F1,R4,POTENCIALES
V1,F1,R5,POTENCIALES
V1,F1,R2,ATENCIÓN MEDIA
V1,F1,R3,POTENCIALES
V1,F1,R5,POTENCIALES
V2,F1,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V0,F0,R0,PERDIDOS
V0,F0,R0,PERDIDOS
V0,F0,R0,PERDIDOS
V0,F0,R0,PERDIDOS
V3,F2,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V5,F1,R5,POTENCIALES
V2,F2,R5,POTENCIALES
V1,F1,R4,POTENCIALES
V4,F2,R3,POTENCIALES
V0,F0,R0,PERDIDOS
V0,F0,R0,PERDIDOS
V1,F1,R4,POTENCIALES
V0,F0,R0,PERDIDOS
V1,F1,R5,POTENCIALES
V2,F1,R1,PERDIDOS
V1,F1,R1,PERDIDOS
V2,F1,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V1,F2,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V0,F0,R0,PERDIDOS
V2,F2,R5,POTENCIALES
V1,F1,R1,PERDIDOS
V1,F2,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V2,F1,R5,POTENCIALES
V2,F2,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V1,F2,R2,ATENCIÓN MEDIA
V2,F1,R4,POTENCIALES
V3,F3,R5,LEALTAD
V2,F2,R5,POTENCIALES
V2,F1,R1,PERDIDOS
V2,F1,R5,POTENCIALES
V4,F1,R4,POTENCIALES
V1,F1,R3,POTENCIALES
V3,F1,R1,PERDIDOS
V2,F2,R5,POTENCIALES
V2,F1,R5,POTENCIALES
V2,F2,R5,POTENCIALES
V2,F1,R5,POTENCIALES
V3,F1,R3,POTENCIALES
V2,F2,R5,POTENCIALES
V1,F1,R1,PERDIDOS
V1,F1,R5,POTENCIALES
V0,F0,R0,PERDIDOS
V1,F1,R5,POTENCIALES
V0,F0,R0,PERDIDOS
